snapshot,p_set,q_set
2024-01-03 17:00:00,0.298,0.1443
2024-01-03 18:00:00,0.3973,0.1924
2024-01-03 19:00:00,0.4122,0.1997
2024-01-03 20:00:00,0.3194,0.1547
2024-01-03 21:00:00,0.3062,0.1483
2024-01-03 22:00:00,0.2127,0.103
2024-01-03 23:00:00,0.2019,0.0978
2024-01-04 00:00:00,0.1099,0.0532
2024-01-04 01:00:00,0.1045,0.0506
2024-01-04 02:00:00,0.0612,0.0297
2024-01-04 03:00:00,0.0729,0.0353
2024-01-04 04:00:00,0.1543,0.0747
2024-01-04 05:00:00,0.1665,0.0806
2024-01-04 06:00:00,0.1836,0.0889
2024-01-04 07:00:00,0.2094,0.1014
2024-01-04 08:00:00,0.1194,0.0578
2024-01-04 09:00:00,0.141,0.0683
2024-01-04 10:00:00,0.1107,0.0536
2024-01-04 11:00:00,0.1239,0.06
2024-01-04 12:00:00,0.1337,0.0648
2024-01-04 13:00:00,0.1981,0.096
2024-01-04 14:00:00,0.1658,0.0803
2024-01-04 15:00:00,0.1839,0.089
2024-01-04 16:00:00,0.2902,0.1405
2024-01-04 17:00:00,0.298,0.1443
2024-01-04 18:00:00,0.3973,0.1924
2024-01-04 19:00:00,0.4122,0.1997
2024-01-04 20:00:00,0.3194,0.1547
2024-01-04 21:00:00,0.3062,0.1483
2024-01-04 22:00:00,0.2127,0.103
2024-01-04 23:00:00,0.2019,0.0978
2024-01-05 00:00:00,0.1099,0.0532
2024-01-05 01:00:00,0.1045,0.0506
2024-01-05 02:00:00,0.0612,0.0297
2024-01-05 03:00:00,0.0729,0.0353
2024-01-05 04:00:00,0.1543,0.0747
2024-01-05 05:00:00,0.1665,0.0806
2024-01-05 06:00:00,0.1836,0.0889
2024-01-05 07:00:00,0.2094,0.1014
2024-01-05 08:00:00,0.1194,0.0578
2024-01-05 09:00:00,0.141,0.0683
2024-01-05 10:00:00,0.1107,0.0536
2024-01-05 11:00:00,0.1239,0.06
2024-01-05 12:00:00,0.1337,0.0648
2024-01-05 13:00:00,0.1981,0.096
2024-01-05 14:00:00,0.1658,0.0803
2024-01-05 15:00:00,0.1839,0.089
2024-01-05 16:00:00,0.2902,0.1405
2024-01-05 17:00:00,0.298,0.1443
2024-01-05 18:00:00,0.3973,0.1924
2024-01-05 19:00:00,0.4122,0.1997
2024-01-05 20:00:00,0.3194,0.1547
2024-01-05 21:00:00,0.3062,0.1483
2024-01-05 22:00:00,0.2127,0.103
2024-01-05 23:00:00,0.2019,0.0978
2024-01-06 00:00:00,0.1099,0.0532
2024-01-06 01:00:00,0.1045,0.0506
2024-01-06 02:00:00,0.0612,0.0297
2024-01-06 03:00:00,0.0729,0.0353
2024-01-06 04:00:00,0.1543,0.0747
2024-01-06 05:00:00,0.1665,0.0806
2024-01-06 06:00:00,0.1836,0.0889
2024-01-06 07:00:00,0.2094,0.1014
2024-01-06 08:00:00,0.1194,0.0578
2024-01-06 09:00:00,0.141,0.0683
2024-01-06 10:00:00,0.1107,0.0536
2024-01-06 11:00:00,0.1239,0.06
2024-01-06 12:00:00,0.1337,0.0648
2024-01-06 13:00:00,0.1981,0.096
2024-01-06 14:00:00,0.1658,0.0803
2024-01-06 15:00:00,0.1839,0.089
2024-01-06 16:00:00,0.2902,0.1405
2024-01-06 17:00:00,0.298,0.1443
2024-01-06 18:00:00,0.3973,0.1924
2024-01-06 19:00:00,0.4122,0.1997
2024-01-06 20:00:00,0.3194,0.1547
2024-01-06 21:00:00,0.3062,0.1483
2024-01-06 22:00:00,0.2127,0.103
2024-01-06 23:00:00,0.2019,0.0978
2024-01-07 00:00:00,0.1099,0.0532
2024-01-07 01:00:00,0.1045,0.0506
2024-01-07 02:00:00,0.0612,0.0297
2024-01-07 03:00:00,0.0729,0.0353
2024-01-07 04:00:00,0.1543,0.0747
2024-01-07 05:00:00,0.1665,0.0806
2024-01-07 06:00:00,0.1836,0.0889
2024-01-07 07:00:00,0.2094,0.1014
2024-01-07 08:00:00,0.1194,0.0578
2024-01-07 09:00:00,0.141,0.0683
2024-01-07 10:00:00,0.1107,0.0536
2024-01-07 11:00:00,0.1239,0.06
2024-01-07 12:00:00,0.1337,0.0648
2024-01-07 13:00:00,0.1981,0.096
2024-01-07 14:00:00,0.1658,0.0803
2024-01-07 15:00:00,0.1839,0.089
2024-01-07 16:00:00,0.2902,0.1405
2024-01-07 17:00:00,0.298,0.1443
2024-01-07 18:00:00,0.3973,0.1924
2024-01-07 19:00:00,0.4122,0.1997
2024-01-07 20:00:00,0.3194,0.1547
2024-01-07 21:00:00,0.3062,0.1483
2024-01-07 22:00:00,0.2127,0.103
2024-01-07 23:00:00,0.2019,0.0978
