snapshot,p_set,q_set
2024-01-03 15:00:00,0.2342,0.1134
2024-01-03 16:00:00,0.3076,0.149
2024-01-03 17:00:00,0.3296,0.1596
2024-01-03 18:00:00,0.3541,0.1715
2024-01-03 19:00:00,0.4335,0.21
2024-01-03 20:00:00,0.3426,0.1659
2024-01-03 21:00:00,0.334,0.1617
2024-01-03 22:00:00,0.2185,0.1058
2024-01-03 23:00:00,0.2641,0.1279
2024-01-04 00:00:00,0.1182,0.0573
2024-01-04 01:00:00,0.0941,0.0456
2024-01-04 02:00:00,0.0658,0.0319
2024-01-04 03:00:00,0.0878,0.0425
2024-01-04 04:00:00,0.1004,0.0486
2024-01-04 05:00:00,0.158,0.0765
2024-01-04 06:00:00,0.1865,0.0903
2024-01-04 07:00:00,0.1885,0.0913
2024-01-04 08:00:00,0.0873,0.0423
2024-01-04 09:00:00,0.1848,0.0895
2024-01-04 10:00:00,0.1493,0.0723
2024-01-04 11:00:00,0.1309,0.0634
2024-01-04 12:00:00,0.1277,0.0618
2024-01-04 13:00:00,0.1891,0.0916
2024-01-04 14:00:00,0.2051,0.0993
2024-01-04 15:00:00,0.2342,0.1134
2024-01-04 16:00:00,0.3076,0.149
2024-01-04 17:00:00,0.3296,0.1596
2024-01-04 18:00:00,0.3541,0.1715
2024-01-04 19:00:00,0.4335,0.21
2024-01-04 20:00:00,0.3426,0.1659
2024-01-04 21:00:00,0.334,0.1617
2024-01-04 22:00:00,0.2185,0.1058
2024-01-04 23:00:00,0.2641,0.1279
2024-01-05 00:00:00,0.1182,0.0573
2024-01-05 01:00:00,0.0941,0.0456
2024-01-05 02:00:00,0.0658,0.0319
2024-01-05 03:00:00,0.0878,0.0425
2024-01-05 04:00:00,0.1004,0.0486
2024-01-05 05:00:00,0.158,0.0765
2024-01-05 06:00:00,0.1865,0.0903
2024-01-05 07:00:00,0.1885,0.0913
2024-01-05 08:00:00,0.0873,0.0423
2024-01-05 09:00:00,0.1848,0.0895
2024-01-05 10:00:00,0.1493,0.0723
2024-01-05 11:00:00,0.1309,0.0634
2024-01-05 12:00:00,0.1277,0.0618
2024-01-05 13:00:00,0.1891,0.0916
2024-01-05 14:00:00,0.2051,0.0993
2024-01-05 15:00:00,0.2342,0.1134
2024-01-05 16:00:00,0.3076,0.149
2024-01-05 17:00:00,0.3296,0.1596
2024-01-05 18:00:00,0.3541,0.1715
2024-01-05 19:00:00,0.4335,0.21
2024-01-05 20:00:00,0.3426,0.1659
2024-01-05 21:00:00,0.334,0.1617
2024-01-05 22:00:00,0.2185,0.1058
2024-01-05 23:00:00,0.2641,0.1279
2024-01-06 00:00:00,0.1182,0.0573
2024-01-06 01:00:00,0.0941,0.0456
2024-01-06 02:00:00,0.0658,0.0319
2024-01-06 03:00:00,0.0878,0.0425
2024-01-06 04:00:00,0.1004,0.0486
2024-01-06 05:00:00,0.158,0.0765
2024-01-06 06:00:00,0.1865,0.0903
2024-01-06 07:00:00,0.1885,0.0913
2024-01-06 08:00:00,0.0873,0.0423
2024-01-06 09:00:00,0.1848,0.0895
2024-01-06 10:00:00,0.1493,0.0723
2024-01-06 11:00:00,0.1309,0.0634
2024-01-06 12:00:00,0.1277,0.0618
2024-01-06 13:00:00,0.1891,0.0916
2024-01-06 14:00:00,0.2051,0.0993
2024-01-06 15:00:00,0.2342,0.1134
2024-01-06 16:00:00,0.3076,0.149
2024-01-06 17:00:00,0.3296,0.1596
2024-01-06 18:00:00,0.3541,0.1715
2024-01-06 19:00:00,0.4335,0.21
2024-01-06 20:00:00,0.3426,0.1659
2024-01-06 21:00:00,0.334,0.1617
2024-01-06 22:00:00,0.2185,0.1058
2024-01-06 23:00:00,0.2641,0.1279
2024-01-07 00:00:00,0.1182,0.0573
2024-01-07 01:00:00,0.0941,0.0456
2024-01-07 02:00:00,0.0658,0.0319
2024-01-07 03:00:00,0.0878,0.0425
2024-01-07 04:00:00,0.1004,0.0486
2024-01-07 05:00:00,0.158,0.0765
2024-01-07 06:00:00,0.1865,0.0903
2024-01-07 07:00:00,0.1885,0.0913
2024-01-07 08:00:00,0.0873,0.0423
2024-01-07 09:00:00,0.1848,0.0895
2024-01-07 10:00:00,0.1493,0.0723
2024-01-07 11:00:00,0.1309,0.0634
2024-01-07 12:00:00,0.1277,0.0618
2024-01-07 13:00:00,0.1891,0.0916
2024-01-07 14:00:00,0.2051,0.0993
2024-01-07 15:00:00,0.2342,0.1134
2024-01-07 16:00:00,0.3076,0.149
2024-01-07 17:00:00,0.3296,0.1596
2024-01-07 18:00:00,0.3541,0.1715
2024-01-07 19:00:00,0.4335,0.21
2024-01-07 20:00:00,0.3426,0.1659
2024-01-07 21:00:00,0.334,0.1617
2024-01-07 22:00:00,0.2185,0.1058
2024-01-07 23:00:00,0.2641,0.1279
