snapshot,p_set,q_set
2024-01-06 16:00:00,0.3771,0.1826
2024-01-06 17:00:00,0.3987,0.1931
2024-01-06 18:00:00,0.3477,0.1684
2024-01-06 19:00:00,0.3123,0.1512
2024-01-06 20:00:00,0.3321,0.1608
2024-01-06 21:00:00,0.3362,0.1628
2024-01-06 22:00:00,0.327,0.1584
2024-01-06 23:00:00,0.3254,0.1576
2024-01-07 00:00:00,0.3185,0.1543
2024-01-07 01:00:00,0.3311,0.1603
2024-01-07 02:00:00,0.2958,0.1433
2024-01-07 03:00:00,0.3125,0.1513
2024-01-07 04:00:00,0.4003,0.1939
2024-01-07 05:00:00,0.4012,0.1943
2024-01-07 06:00:00,0.3912,0.1895
2024-01-07 07:00:00,0.4161,0.2015
2024-01-07 08:00:00,0.4548,0.2203
2024-01-07 09:00:00,0.4787,0.2319
2024-01-07 10:00:00,0.4576,0.2216
2024-01-07 11:00:00,0.5204,0.252
2024-01-07 12:00:00,0.5065,0.2453
2024-01-07 13:00:00,0.499,0.2417
2024-01-07 14:00:00,0.5168,0.2503
2024-01-07 15:00:00,0.4599,0.2227
2024-01-07 16:00:00,0.3771,0.1826
2024-01-07 17:00:00,0.3987,0.1931
2024-01-07 18:00:00,0.3477,0.1684
2024-01-07 19:00:00,0.3123,0.1512
2024-01-07 20:00:00,0.3321,0.1608
2024-01-07 21:00:00,0.3362,0.1628
2024-01-07 22:00:00,0.327,0.1584
2024-01-07 23:00:00,0.3254,0.1576
